id,lat,lon
784322675, 48.880067, 2.3550695
784323289, 48.8802874, 2.3540027
784323772, 48.8800625, 2.3551189
784324923, 48.8777227, 2.3521041
784328137, 48.8802703, 2.3540819
784331059, 48.8798965, 2.3559074
784336034, 48.8802809, 2.3540156
784337205, 48.8801433, 2.3547087
784338021, 48.8801984, 2.354494
784338774, 48.8799648, 2.3556288
784339167, 48.8801362, 2.3547051
784341055, 48.8801251, 2.3548879
784341201, 48.8803132, 2.3538766
784346293, 48.8803444, 2.353823
784346592, 48.8800319, 2.3552425
784346665, 48.8799471, 2.355658
784351666, 48.8801706, 2.3545967
784352492, 48.8801918, 2.3544694
784352815, 48.8800255, 2.3552395
784354365, 48.8800618, 2.3551223
784354855, 48.8802216, 2.354377
784355547, 48.8778296, 2.3520648
784356510, 48.8801501, 2.3546725
784357414, 48.8802932, 2.354001
784360238, 48.8776109, 2.3513164
784360859, 48.8800732, 2.3550398
784362696, 48.8804431, 2.3538613
784365165, 48.8804222, 2.3538589
784366153, 48.8781866, 2.3522307
784367572, 48.8803276, 2.3538145
784369768, 48.8802673, 2.3540804
784372454, 48.8792647, 2.3517538
784372776, 48.8804241, 2.3538521
784374777, 48.8799167, 2.3559074
784375501, 48.8803142, 2.3538975
784375701, 48.8800468, 2.3552287
784375736, 48.8800101, 2.3553393
784375832, 48.8801495, 2.3546401
784376754, 48.8801561, 2.3546431
784377001, 48.880143, 2.3547274
784378893, 48.8799127, 2.3558208
784380282, 48.8804414, 2.3538678
784381726, 48.8803153, 2.353893
784382354, 48.8802775, 2.3540542
784383770, 48.8803097, 2.3538749
784383952, 48.8802092, 2.354414
784384869, 48.8803105, 2.3538906
784386083, 48.8799175, 2.3558227
784386602, 48.8799387, 2.3556942
784389720, 48.8778074, 2.3520586
784392776, 48.8799352, 2.3556933
784393044, 48.8802798, 2.3540935
784393658, 48.8799536, 2.3556234
784393812, 48.8800199, 2.3552677
784394889, 48.8803476, 2.3538351
784395503, 48.8802083, 2.3543772
784395574, 48.8800893, 2.3549928
784395840, 48.880058, 2.3551167
784397454, 48.8799008, 2.3558612
784397475, 48.8779397, 2.3511133
784397584, 48.8801567, 2.3546041
784400603, 48.8801913, 2.3544384
784409508, 48.8801779, 2.3545943
784413617, 48.8800846, 2.3549947
784415640, 48.8802922, 2.3540053
784419074, 48.8802749, 2.3540435
784419650, 48.8775929, 2.3519294
784420359, 48.8800352, 2.3552279
784425474, 48.8802691, 2.3540879
784427089, 48.87999, 2.355954
784427853, 48.8800675, 2.3550371
784427937, 48.8803154, 2.3538473
784429355, 48.8799052, 2.355863
784430129, 48.8800408, 2.3552261
784430150, 48.8778115, 2.3520251
784430214, 48.8799453, 2.3556666
784430426, 48.8804167, 2.3538559
784431930, 48.8799427, 2.3556561
784434319, 48.880346, 2.3538161
784434596, 48.8800536, 2.3551034
784435949, 48.8803173, 2.3538384
784436111, 48.8799885, 2.3559339
784437981, 48.8798979, 2.3559006
784438549, 48.8776821, 2.3511847
784438571, 48.8800814, 2.3550103
784439439, 48.8803227, 2.3538118
784441567, 48.880154, 2.3547318
784441781, 48.8802732, 2.3540521
784442756, 48.8800073, 2.3553302
784444720, 48.8801855, 2.3544666
784445556, 48.8801973, 2.3544361
784446299, 48.8799405, 2.3557117
784447374, 48.8801936, 2.3544855
784448369, 48.8799863, 2.3559438
784451160, 48.8799099, 2.3558352
784451302, 48.8801433, 2.3546696
784451386, 48.8801444, 2.3547208
784451411, 48.8799397, 2.3557154
784451880, 48.8775215, 2.3516084
784453968, 48.8778337, 2.3520312
784454824, 48.879941, 2.3556643
784455111, 48.8802842, 2.3540173
784455796, 48.8801044, 2.3549993
784456345, 48.8801891, 2.3544832
784457273, 48.8800614, 2.3550669
784457312, 48.8800249, 2.35527
784462587, 48.8803496, 2.3538255
784462966, 48.8802031, 2.3544062
784467314, 48.8799227, 2.3559102
784467950, 48.8775684, 2.3518184
784468804, 48.880018, 2.3553046
784469537, 48.8799065, 2.3558337
